epoch,loss,accuracy,val_loss,val_accuracy
1,5.327681064605713,0.008630000054836273,5.185681343078613,0.016200000420212746
2,5.2446675300598145,0.01351999957114458,5.173375129699707,0.01759999990463257
3,5.222537517547607,0.016300000250339508,5.118087291717529,0.02449999935925007
4,5.197114944458008,0.020309999585151672,5.043156147003174,0.03009999915957451
5,5.17606258392334,0.02355000004172325,4.920000076293945,0.04699999839067459
6,5.155334949493408,0.02701999992132187,4.848918914794922,0.06949999928474426
7,5.1323723793029785,0.03305999934673309,5.024499893188477,0.029899999499320984
8,5.112278938293457,0.036559998989105225,4.702456474304199,0.08020000159740448
9,5.08725643157959,0.04301999881863594,4.695324897766113,0.07370000332593918
10,5.069817543029785,0.04642999917268753,4.547387599945068,0.10949999839067459
11,5.055180072784424,0.05017999932169914,4.610987663269043,0.10109999775886536
12,5.034450054168701,0.05325999855995178,4.4582438468933105,0.12290000170469284
13,5.020589828491211,0.05714000016450882,4.504243850708008,0.1143999993801117
14,5.003447532653809,0.06114000082015991,4.464481353759766,0.1193000003695488
15,4.985499858856201,0.06486000120639801,4.305662631988525,0.14329999685287476
16,4.964846134185791,0.06931000202894211,4.220968723297119,0.1598999947309494
17,4.940727710723877,0.07410000264644623,4.192824840545654,0.16740000247955322
18,4.924047470092773,0.07937999814748764,4.100025177001953,0.18410000205039978
19,4.902377605438232,0.08451999723911285,4.1441874504089355,0.17560000717639923
20,4.876029968261719,0.09165000170469284,3.9856812953948975,0.20509999990463257
21,4.856966018676758,0.09663999825716019,4.010674953460693,0.20589999854564667
22,4.835048675537109,0.1017799973487854,3.966087579727173,0.2142000049352646
23,4.817912578582764,0.10672999918460846,4.087600231170654,0.1891999989748001
24,4.789838790893555,0.11395999789237976,4.001762390136719,0.21130000054836273
25,4.767667293548584,0.12115000188350677,3.9935624599456787,0.21230000257492065
26,4.748165130615234,0.12553000450134277,3.9591751098632812,0.22470000386238098
27,4.7269287109375,0.13168999552726746,3.844193696975708,0.23989999294281006
28,4.715027332305908,0.13420000672340393,3.795137405395508,0.25290000438690186
29,4.699850082397461,0.13954000174999237,3.807650089263916,0.25360000133514404
30,4.688722610473633,0.14364999532699585,3.850950002670288,0.24729999899864197
31,4.669449806213379,0.14896999299526215,3.915043830871582,0.23070000112056732
32,4.662397384643555,0.14943000674247742,3.9667251110076904,0.21879999339580536
33,4.6450276374816895,0.15534000098705292,3.9183125495910645,0.22949999570846558
34,4.625770092010498,0.16132999956607819,4.100249767303467,0.2110999971628189
35,4.614202499389648,0.16304999589920044,4.05727481842041,0.20630000531673431
36,4.601492404937744,0.16744999587535858,3.7773938179016113,0.2615000009536743
37,4.58835506439209,0.16927999258041382,3.7281999588012695,0.27810001373291016
38,4.576672554016113,0.17396000027656555,3.8351874351501465,0.25369998812675476
39,4.56107759475708,0.1786399930715561,3.675743818283081,0.28459998965263367
40,4.554434776306152,0.18066999316215515,3.7789063453674316,0.26510000228881836
41,4.53664493560791,0.18549999594688416,3.735856294631958,0.2741999924182892
42,4.528072357177734,0.18836000561714172,3.9458374977111816,0.2393999993801117
43,4.515892505645752,0.19158999621868134,3.685912609100342,0.29100000858306885
44,4.504819869995117,0.1954299956560135,4.082493782043457,0.21950000524520874
45,4.497921466827393,0.19731000065803528,3.8413937091827393,0.25850000977516174
46,4.480153560638428,0.20112000405788422,3.918524980545044,0.2418999969959259
47,4.473086357116699,0.20449000597000122,4.300537586212158,0.18809999525547028
48,4.467120170593262,0.20621000230312347,3.566537618637085,0.31119999289512634
49,4.459338665008545,0.20806999504566193,3.957231283187866,0.23759999871253967
50,4.4417901039123535,0.2119400054216385,3.6364123821258545,0.2996000051498413
51,4.44278621673584,0.21180999279022217,3.5492498874664307,0.3174999952316284
52,4.433213710784912,0.21556000411510468,4.796387672424316,0.16050000488758087
53,4.424002647399902,0.21796999871730804,3.7118499279022217,0.2955000102519989
54,4.40762996673584,0.22356000542640686,3.638462543487549,0.3043000102043152
55,4.398429870605469,0.22442999482154846,3.7851123809814453,0.2703000009059906
56,4.3875226974487305,0.22777000069618225,3.8772313594818115,0.2655999958515167
57,4.378835201263428,0.23292000591754913,3.6443750858306885,0.30720001459121704
58,4.3747711181640625,0.23303000628948212,3.9315125942230225,0.2583000063896179
59,4.36235237121582,0.23508000373840332,3.6393063068389893,0.30709999799728394
60,4.350846290588379,0.23874999582767487,3.657637596130371,0.30480000376701355
61,4.347972393035889,0.24009999632835388,3.9524874687194824,0.26669999957084656
62,4.342183589935303,0.24250000715255737,3.6811187267303467,0.29910001158714294
63,4.32615327835083,0.24722999334335327,3.683112382888794,0.2987000048160553
