epoch,loss,accuracy,val_loss,val_accuracy
1,5.6656413078308105,0.004970000125467777,5.336474895477295,0.005499999970197678
2,5.442699909210205,0.0047900001518428326,5.302975177764893,0.006500000134110451
3,5.328228950500488,0.00471000000834465,5.298562526702881,0.004699999932199717
4,5.30636739730835,0.004999999888241291,5.297093868255615,0.006200000178068876
5,5.303150177001953,0.00535999983549118,5.292600154876709,0.007899999618530273
6,5.300924777984619,0.005470000207424164,5.273956298828125,0.011300000362098217
7,5.297194957733154,0.005950000137090683,5.2731122970581055,0.008799999952316284
8,5.28802490234375,0.006839999929070473,5.211249828338623,0.009100000374019146
9,5.289265155792236,0.006599999964237213,5.228556156158447,0.011599999852478504
10,5.276071071624756,0.00798999983817339,5.187112331390381,0.012000000104308128
11,5.269627571105957,0.009630000218749046,5.174849987030029,0.011900000274181366
12,5.263978958129883,0.010110000148415565,5.171500205993652,0.01119999960064888
13,5.2629313468933105,0.009689999744296074,5.15806245803833,0.012299999594688416
14,5.261057376861572,0.0101500004529953,5.153924942016602,0.013199999928474426
15,5.2584710121154785,0.009689999744296074,5.1585001945495605,0.012500000186264515
16,5.256110191345215,0.010370000265538692,5.135924816131592,0.015300000086426735
17,5.254683971405029,0.010730000212788582,5.125481128692627,0.01850000023841858
18,5.255835056304932,0.010689999908208847,5.156875133514404,0.012500000186264515
19,5.252206325531006,0.01145000010728836,5.1215314865112305,0.01850000023841858
20,5.252166271209717,0.01145000010728836,5.153062343597412,0.013799999840557575
21,5.251198768615723,0.011509999632835388,5.155218601226807,0.013799999840557575
22,5.248537540435791,0.01155999954789877,5.164418697357178,0.013799999840557575
23,5.250307559967041,0.011769999749958515,5.17549991607666,0.0142000000923872
24,5.249758720397949,0.011769999749958515,5.136199951171875,0.017000000923871994
25,5.247376441955566,0.013000000268220901,5.106675148010254,0.020999999716877937
26,5.2476348876953125,0.011989999562501907,5.125662326812744,0.018300000578165054
27,5.248380184173584,0.012120000086724758,5.13356876373291,0.017500000074505806
28,5.246343612670898,0.012500000186264515,5.127037525177002,0.020400000736117363
29,5.247115135192871,0.012299999594688416,5.136449813842773,0.016300000250339508
30,5.246854782104492,0.012520000338554382,5.187812328338623,0.013299999758601189
31,5.2479939460754395,0.012769999913871288,5.156418800354004,0.014000000432133675
32,5.243836402893066,0.013150000013411045,5.12998104095459,0.01769999973475933
33,5.2433762550354,0.013399999588727951,5.142724990844727,0.01679999940097332
34,5.242278575897217,0.012910000048577785,5.134937286376953,0.01889999955892563
35,5.239231109619141,0.013249999843537807,5.14213752746582,0.016300000250339508
36,5.239893913269043,0.013790000230073929,5.1301751136779785,0.01860000006854534
37,5.237734794616699,0.013980000279843807,5.118281364440918,0.019099999219179153
