epoch,loss,accuracy,val_loss,val_accuracy,lr
1,4.467352390289307,0.18813000619411469,2.950000047683716,0.4959999918937683,9.999999747378752e-05
2,4.298062324523926,0.22578999400138855,2.8142874240875244,0.5138999819755554,9.999999747378752e-05
3,4.222949981689453,0.24296000599861145,2.7357873916625977,0.5259000062942505,9.999999747378752e-05
4,4.174775123596191,0.2531999945640564,2.7001469135284424,0.53329998254776,9.999999747378752e-05
5,4.134950160980225,0.2629300057888031,2.659109354019165,0.5428000092506409,9.999999747378752e-05
6,4.0985426902771,0.27035000920295715,2.6502907276153564,0.545199990272522,9.999999747378752e-05
7,4.065971374511719,0.27928000688552856,2.6100780963897705,0.5486000180244446,9.999999747378752e-05
8,4.03692102432251,0.2872599959373474,2.606393814086914,0.5526000261306763,9.999999747378752e-05
9,4.010544776916504,0.29396000504493713,2.5902061462402344,0.5548999905586243,9.999999747378752e-05
10,3.9984512329101562,0.2976599931716919,2.573396921157837,0.5562999844551086,9.999999747378752e-05
11,3.9752349853515625,0.30511000752449036,2.5680313110351562,0.5622000098228455,9.999999747378752e-05
12,3.958676338195801,0.3081899881362915,2.5562312602996826,0.5605000257492065,9.999999747378752e-05
13,3.948395013809204,0.3095700144767761,2.5475780963897705,0.5641999840736389,9.999999747378752e-05
14,3.935115098953247,0.3140900135040283,2.5471906661987305,0.5640000104904175,9.999999747378752e-05
15,3.920722484588623,0.3178899884223938,2.545865535736084,0.567799985408783,9.999999747378752e-05
16,3.9030675888061523,0.32256999611854553,2.5393500328063965,0.567300021648407,9.999999747378752e-05
17,3.8974080085754395,0.32548999786376953,2.524793863296509,0.5680000185966492,9.999999747378752e-05
18,3.878312587738037,0.33059999346733093,2.5214905738830566,0.5674999952316284,9.999999747378752e-05
19,3.8665900230407715,0.33430999517440796,2.509312391281128,0.5702999830245972,9.999999747378752e-05
20,3.8559913635253906,0.335970014333725,2.533581256866455,0.5687999725341797,9.999999747378752e-05
21,3.843282461166382,0.34007999300956726,2.5130093097686768,0.5691999793052673,9.999999747378752e-05
22,3.8373186588287354,0.3421199917793274,2.5299437046051025,0.5688999891281128,9.999999747378752e-05
23,3.8234174251556396,0.3468500077724457,2.5258843898773193,0.5687000155448914,9.999999747378752e-05
24,3.8148138523101807,0.34898000955581665,2.5229780673980713,0.5720000267028809,9.999999747378752e-05
25,3.8058018684387207,0.35161998867988586,2.5250093936920166,0.5680000185966492,9.999999747378752e-05
26,3.7925150394439697,0.35484999418258667,2.5096688270568848,0.5694000124931335,9.999999747378752e-05
27,3.7838900089263916,0.35811999440193176,2.5272374153137207,0.5699999928474426,9.999999747378752e-05
28,3.7714719772338867,0.3599399924278259,2.5228374004364014,0.5702999830245972,9.999999747378752e-05
29,3.765716314315796,0.35920000076293945,2.503774881362915,0.5726000070571899,9.999999747378752e-05
30,3.7546236515045166,0.3642500042915344,2.5185749530792236,0.5738999843597412,9.999999747378752e-05
31,3.749981164932251,0.3640199899673462,2.5032312870025635,0.5730000138282776,9.999999747378752e-05
32,3.738987445831299,0.3686699867248535,2.497612476348877,0.5720000267028809,9.999999747378752e-05
33,3.730104923248291,0.3714100122451782,2.5151469707489014,0.5674999952316284,9.999999747378752e-05
34,3.7236924171447754,0.37365999817848206,2.517559289932251,0.5697000026702881,9.999999747378752e-05
35,3.7147300243377686,0.3765699863433838,2.5141749382019043,0.5674999952316284,9.999999747378752e-05
36,3.7059431076049805,0.37856000661849976,2.5282626152038574,0.5712000131607056,9.999999747378752e-05
37,3.689026355743408,0.38416001200675964,2.5107500553131104,0.5738000273704529,4.999999873689376e-05
38,3.674807548522949,0.3881399929523468,2.515500068664551,0.5724999904632568,4.999999873689376e-05
39,3.6731224060058594,0.3873099982738495,2.493875026702881,0.5702000260353088,4.999999873689376e-05
40,3.671421766281128,0.3884100019931793,2.5189499855041504,0.5734000205993652,4.999999873689376e-05
41,3.665008068084717,0.38978999853134155,2.506218671798706,0.5734000205993652,4.999999873689376e-05
42,3.654456853866577,0.3941900134086609,2.510265588760376,0.5722000002861023,4.999999873689376e-05
